Sample Name,TF,Batch,Round within Batch
4.1,Prox1,1,1
57.3,hEtv4,1,1
59.3,hHmgb3,1,1
86.5,FOXN3,1,1
102.D,NR2E3,1,1
131.1,BHLHE40,1,1
10.1,Atoh1,1,2
17.1,Foxa1,1,2
18.7,Foxa2,1,2
25.2,Pax4,1,2
32.2,Sox4,1,2
33.3,Znf800,1,2
6B_REP2,Klf4,1,3
15.2,Neurod2,1,3
29.2,Pdx1,1,3
31.6,Hhex,1,3
Cnt1.2,Control,1,3
35.7,Lmx1a,1,3
5.5,Spdef,1,4
8.7,Hnf4g,1,4
13.7,Neurog3,1,4
38.4,Tox3,1,4
56.2,hEts1,1,4
113.5,RFX3,1,4
Cnt2.1,Control,2,1
80.8,ARID5B,2,1
92.3,CXXC4,2,1
125.5,ZNF326,2,1
137.7,spib,2,1
Cnt2.2,Control,2,1
3.8,Bambi,2,2
61.8,DACH2,2,2
117.7,THRB,2,2
118.6,ZBTB18,2,2
120.7,ZBTB7C,2,2
139.3,tcf7,2,2
51.3,ID1,2,3
53.5,ID3,2,3
78.7_REP1,Pou2af3,2,3
127.1,ZNF608,2,3
128.6,ZNF704,2,3
136.4,MXD1,2,3
63B,TEAD1,2,4
75.8,Isl1,2,4
119.4,ZBTB46,2,4
126.7,ZNF445,2,4
138.7,HMX2,2,4
Cnt3.1,Control,3,1
47.1,Arnt2,3,1
88.3,GATA4,3,1
84.8,ETV1,3,1
112A,PRDM16,3,1
Cnt3.2,Control,3,1
77.1,Pou2af2,3,2
76.6,Mnx1,3,2
93.7,HIF1A,3,2
98.4,LCORL,3,2
99.7,MEIS3,3,2
130.7,ZNF711,3,2
2.2,Hes1,3,3
6B_REP1,Klf4,3,3
66.3,HES4,3,3
62A,PERCC1,3,3
101.1,NPAS2,3,3
85.8,FOS,3,4
89.1,GLIS3,3,4
91.7,GTF2IRD1,3,4
94.2,JAZF1,3,4
95.3,KLF12,3,4
115.4,SETBP1,3,4
Cnt4.1,Control,4,1
24.3_REP1,Insm1,4,1
36.3_REP1,Lmx1b,4,1
40.6,Rfx6,4,1
65.1,HES2,4,1
Cnt4.2,Control,4,1
14.8,Neurod1,4,2
20.3,Mnx1,4,2
28.3,Nkx2-2,4,2
81.5,CSRNP3,4,2
96.1,L3MBTL3,4,2
114.8,RORA,4,2
19.6,Arx,4,3
23.1,Isl1,4,3
26.3,Pax6,4,3
37.4,Runx1t1,4,3
58.3,Hdac9,4,3
73.3,Myt1l,4,3
16.1,Gfi1,4,4
39.7,Zcchc12,4,4
49.6,EGR4,4,4
123.4,ZKSCAN1,4,4
27.3,Nkx6-1,4,4
78.7_REP2,Pou2af3,4,4
24.3_REP2,Insm1,4,4
36.3_REP2,Lmx1b,4,4